Report Month,Department,Avg Telework Days/Week
2021-11,0511 - Secretary for Government Operations Agency,4.58
2021-11,"0515 - Secretary for Business, Consumer Services, and Housing Agency",4.48
2021-11,0521 - Secretary for Transportation Agency,3.64
2021-11,0531 - Office of Systems Integration,4.75
2021-11,0540 - Secretary of the Natural Resources Agency,4.7
2021-11,0552 - Office of the Inspector General,4.35
2021-11,0555 - Secretary for Environmental Protection,4.01
2021-11,0559 - Secretary for Labor and Workforce Development Agency,2.09
2021-11,0650 - Office of Planning and Research,4.38
2021-11,0690 - Governor's Office of Emergency Services,2.68
2021-11,0820 - Department of Justice,3.19
2021-11,0845 - Department of Insurance,2.84
2021-11,0855 - California Gambling Control Commission,4.43
2021-11,0860 - State Board of Equalization,4.87
2021-11,0890 - Secretary of State,3.17
2021-11,1045 - Cannabis Control Appeals Panel,4
2021-11,1111 - Department of Consumer Affairs,2.45
2021-11,1115 - Department of Cannabis Control,3.77
2021-11,1700 - California Civil Rights Department,4.56
2021-11,1701 - Department of Financial Protection and Innovation,4.56
2021-11,1703 - California Privacy Protection Agency,2.5
2021-11,1750 - California Horse Racing Board,1.87
2021-11,2100 - Department of Alcoholic Beverage Control,2.17
2021-11,2120 - Alcoholic Beverage Control Appeals Board,3.67
2021-11,2240 - Department of Housing and Community Development,3.84
2021-11,2320 - Department of Real Estate,3.14
2021-11,2600 - California Transportation Commission,4.47
2021-11,2665 - High-Speed Rail Authority,3.75
2021-11,2720 - California Highway Patrol,0.13
2021-11,3105 - California African-American Museum,1.03
2021-11,3125 - California Tahoe Conservancy,4.88
2021-11,3340 - California Conservation Corps,0.94
2021-11,3355 - Office of Energy Infrastructure Safety,5
2021-11,3360 - Energy Resources Conservation and Development Commission,4.8
2021-11,3480 - Department of Conservation,3.87
2021-11,3540 - Department of Forestry and Fire Protection,0.07
2021-11,3560 - State Lands Commission,3.63
2021-11,3600 - Department of Fish and Wildlife,1.73
2021-11,3640 - Wildlife Conservation Board,2.21
2021-11,3720 - California Coastal Commission,4
2021-11,3760 - State Coastal Conservancy,4.55
2021-11,3780 - Native American Heritage Commission,4.63
2021-11,3790 - Department of Parks and Recreation,0.51
2021-11,3810 - Santa Monica Mountains Conservancy,5
2021-11,3820 - San Francisco Bay Conservation and Development Commission,5
2021-11,3825 - San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy,3.67
2021-11,3830 - San Joaquin River Conservancy,4.67
2021-11,3835 - Baldwin Hills Conservancy,4.67
2021-11,3840 - Delta Protection Commission,3.7
2021-11,3845 - San Diego River Conservancy,0
2021-11,3850 - Coachella Valley Mountains Conservancy,1.75
2021-11,3855 - Sierra Nevada Conservancy,4.51
2021-11,3860 - Department of Water Resources,2.04
2021-11,3862 - Central Valley Flood Protection Board,4.43
2021-11,3875 - Sacramento-San Joaquin Delta Conservancy,4.91
2021-11,3885 - Delta Stewardship Council,4.6
2021-11,3900 - State Air Resources Board,4.43
2021-11,3930 - Department of Pesticide Regulation,4.09
2021-11,3940 - State Water Resources Control Board,4.14
2021-11,3960 - Department of Toxic Substances Control,2.6
2021-11,3970 - Department of Resources Recycling and Recovery,4.04
2021-11,4100 - State Council on Developmental Disabilities,3.5
2021-11,4140 - Department of Health Care Access and Information,4.38
2021-11,4150 - Department of Managed Health Care,4.68
2021-11,4170 - Department of Aging,4.86
2021-11,4250 - California Children and Families Commission,3
2021-11,4265 - Department of Public Health,3.39
2021-11,4300 - Department of Developmental Services,1.06
2021-11,4440 - Department of State Hospitals,0.28
2021-11,4700 - Department of Community Services and Development,4.77
2021-11,4800 - California Health Benefit Exchange,4.84
2021-11,5160 - Department of Rehabilitation,2.63
2021-11,5175 - Department of Child Support Services,4.68
2021-11,5180 - Department of Social Services,3.57
2021-11,5225 - Department of Corrections and Rehabilitation,0.28
2021-11,5227 - Board of State and Community Corrections,4.84
2021-11,5420 - Prison Industry Authority,0.41
2021-11,6120 - California State Library,3
2021-11,6125 - Education Audit Appeals Panel,3.67
2021-11,6250 - California School for the Deaf - Riverside,0.09
2021-11,6360 - Commission on Teacher Credentialing,3.89
2021-11,6870 - Board of Governors of the California Community Colleges,4.93
2021-11,"6980 - Student Aid Commission, California",5
2021-11,7100 - Employment Development Department,3.16
2021-11,7300 - Agricultural Labor Relations Board,3.32
2021-11,7320 - Public Employment Relations Board,3.72
2021-11,7501 - Department of Human Resources,4.08
2021-11,7502 - California Department of Technology,4.27
2021-11,7503 - State Personnel Board,4.51
2021-11,7504 - Office of Data and Innovation,5
2021-11,7600 - California Department of Tax and Fee Administration,4.48
2021-11,7730 - Franchise Tax Board,2.78
2021-11,7760 - Department of General Services,2
2021-11,7870 - California Victim Compensation Board,4.83
2021-11,7910 - Office of Administrative Law,2.65
2021-11,7920 - State Teachers' Retirement System,4.98
2021-11,8120 - Commission on Peace Officer Standards and Training,2.87
2021-11,8140 - State Public Defender,3.72
2021-11,8560 - California Exposition and State Fair,0.06
2021-11,8570 - Department of Food and Agriculture,2.27
2021-11,8620 - Fair Political Practices Commission,4.77
2021-11,8660 - Public Utilities Commission,4.03
2021-11,"8780 - Milton Marks ""Little Hoover"" Commission on California State Government Organization and Economy",5
2021-11,8825 - Commission on Asian and Pacific Islander American Affairs,5
2021-11,"8830 - Law Revision Commission, California",5
2021-11,8860 - Department of Finance,4.02
2021-11,8880 - Financial Information System for California,4.89
2021-11,"8885 - States Mandates, Commission on",3.67
2021-11,8940 - Military Department,3
2021-11,8955 - Department of Veterans Affairs,0.56
2021-11,A059 - California Correctional Health Care Services,0.46
2021-11,A314 - California Science Center,0.63
2021-11,A341 - California Earthquake Authority,4.75
2021-11,A424 - Cradle-to-Career,4.33
2021-11,A541 - Board of Forestry and Fire Protection,0.33
2021-12,0500 - Governor's Office,3.34
2021-12,0509 - Governor's Office of Business and Economic Development (GO-Biz),4.47
2021-12,0511 - Secretary for Government Operations Agency,4.62
2021-12,"0515 - Secretary for Business, Consumer Services, and Housing Agency",4.46
2021-12,0521 - Secretary for Transportation Agency,3.64
2021-12,0531 - Office of Systems Integration,4.85
2021-12,0540 - Secretary of the Natural Resources Agency,4.7
2021-12,0552 - Office of the Inspector General,4.35
2021-12,0555 - Secretary for Environmental Protection,4.03
2021-12,0559 - Secretary for Labor and Workforce Development Agency,2.09
2021-12,0650 - Office of Planning and Research,4.38
2021-12,0690 - Governor's Office of Emergency Services,2.72
2021-12,0820 - Department of Justice,3.19
2021-12,0845 - Department of Insurance,2.94
2021-12,0855 - California Gambling Control Commission,4.46
2021-12,0860 - State Board of Equalization,4.87
2021-12,0890 - Secretary of State,3.17
2021-12,1045 - Cannabis Control Appeals Panel,4
2021-12,1111 - Department of Consumer Affairs,2.44
2021-12,1115 - Department of Cannabis Control,3.74
2021-12,1700 - California Civil Rights Department,4.56
2021-12,1701 - Department of Financial Protection and Innovation,4.57
2021-12,1703 - California Privacy Protection Agency,3.33
2021-12,1750 - California Horse Racing Board,1.87
2021-12,2100 - Department of Alcoholic Beverage Control,2.18
2021-12,2120 - Alcoholic Beverage Control Appeals Board,3.67
2021-12,2240 - Department of Housing and Community Development,3.85
2021-12,2320 - Department of Real Estate,3.14
2021-12,2600 - California Transportation Commission,4.5
2021-12,2665 - High-Speed Rail Authority,3.73
2021-12,2720 - California Highway Patrol,0.13
2021-12,3105 - California African-American Museum,1.03
2021-12,3125 - California Tahoe Conservancy,4.88
2021-12,3340 - California Conservation Corps,0.96
2021-12,3355 - Office of Energy Infrastructure Safety,5
2021-12,3360 - Energy Resources Conservation and Development Commission,4.8
2021-12,3480 - Department of Conservation,3.88
2021-12,3540 - Department of Forestry and Fire Protection,0.08
2021-12,3560 - State Lands Commission,3.62
2021-12,3600 - Department of Fish and Wildlife,1.73
2021-12,3640 - Wildlife Conservation Board,2.21
2021-12,3720 - California Coastal Commission,4
2021-12,3760 - State Coastal Conservancy,4.55
2021-12,3780 - Native American Heritage Commission,4.63
2021-12,3790 - Department of Parks and Recreation,0.55
2021-12,3810 - Santa Monica Mountains Conservancy,5
2021-12,3820 - San Francisco Bay Conservation and Development Commission,5
2021-12,3825 - San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy,3.89
2021-12,3830 - San Joaquin River Conservancy,4.67
2021-12,3835 - Baldwin Hills Conservancy,4.67
2021-12,3840 - Delta Protection Commission,3.7
2021-12,3845 - San Diego River Conservancy,0
2021-12,3850 - Coachella Valley Mountains Conservancy,1.75
2021-12,3855 - Sierra Nevada Conservancy,4.55
2021-12,3860 - Department of Water Resources,2.22
2021-12,3862 - Central Valley Flood Protection Board,4.43
2021-12,3875 - Sacramento-San Joaquin Delta Conservancy,4.91
2021-12,3885 - Delta Stewardship Council,4.6
2021-12,3900 - State Air Resources Board,3.77
2021-12,3930 - Department of Pesticide Regulation,4.05
2021-12,3940 - State Water Resources Control Board,4.11
2021-12,3960 - Department of Toxic Substances Control,2.78
2021-12,3970 - Department of Resources Recycling and Recovery,4.15
2021-12,4100 - State Council on Developmental Disabilities,3.5
2021-12,4140 - Department of Health Care Access and Information,4.38
2021-12,4150 - Department of Managed Health Care,4.64
2021-12,4170 - Department of Aging,4.76
2021-12,4250 - California Children and Families Commission,3
2021-12,4265 - Department of Public Health,3.39
2021-12,4300 - Department of Developmental Services,1.06
2021-12,4440 - Department of State Hospitals,0.28
2021-12,4700 - Department of Community Services and Development,4.77
2021-12,4800 - California Health Benefit Exchange,4.85
2021-12,5160 - Department of Rehabilitation,2.64
2021-12,5175 - Department of Child Support Services,4.68
2021-12,5180 - Department of Social Services,3.57
2021-12,5225 - Department of Corrections and Rehabilitation,0.28
2021-12,5227 - Board of State and Community Corrections,4.87
2021-12,5420 - Prison Industry Authority,0.55
2021-12,6120 - California State Library,3.02
2021-12,6125 - Education Audit Appeals Panel,3.67
2021-12,6250 - California School for the Deaf - Riverside,0.09
2021-12,6360 - Commission on Teacher Credentialing,3.92
2021-12,6870 - Board of Governors of the California Community Colleges,4.93
2021-12,"6980 - Student Aid Commission, California",5
2021-12,7100 - Employment Development Department,3.16
2021-12,7300 - Agricultural Labor Relations Board,3.32
2021-12,7320 - Public Employment Relations Board,3.73
2021-12,7501 - Department of Human Resources,4.15
2021-12,7502 - California Department of Technology,4.37
2021-12,7503 - State Personnel Board,4.53
2021-12,7504 - Office of Data and Innovation,5
2021-12,7600 - California Department of Tax and Fee Administration,4.48
2021-12,7730 - Franchise Tax Board,2.71
2021-12,7760 - Department of General Services,1.98
2021-12,7870 - California Victim Compensation Board,4.85
2021-12,7910 - Office of Administrative Law,2.65
2021-12,7920 - State Teachers' Retirement System,4.98
2021-12,8120 - Commission on Peace Officer Standards and Training,2.91
2021-12,8140 - State Public Defender,3.66
2021-12,8560 - California Exposition and State Fair,0.06
2021-12,8570 - Department of Food and Agriculture,2.31
2021-12,8620 - Fair Political Practices Commission,4.78
2021-12,8660 - Public Utilities Commission,4.03
2021-12,"8780 - Milton Marks ""Little Hoover"" Commission on California State Government Organization and Economy",5
2021-12,"8830 - Law Revision Commission, California",5
2021-12,8860 - Department of Finance,4.02
2021-12,8880 - Financial Information System for California,4.89
2021-12,"8885 - States Mandates, Commission on",3.67
2021-12,8940 - Military Department,3
2021-12,8955 - Department of Veterans Affairs,0.56
2021-12,A059 - California Correctional Health Care Services,0.46
2021-12,A314 - California Science Center,0.63
2021-12,A341 - California Earthquake Authority,4.77
2021-12,A424 - Cradle-to-Career,4.6
2021-12,A541 - Board of Forestry and Fire Protection,0.33
2022-01,0500 - Governor's Office,3.45
2022-01,0509 - Governor's Office of Business and Economic Development (GO-Biz),4.42
2022-01,0511 - Secretary for Government Operations Agency,4.69
2022-01,"0515 - Secretary for Business, Consumer Services, and Housing Agency",4.46
2022-01,0521 - Secretary for Transportation Agency,3.64
2022-01,0531 - Office of Systems Integration,4.8
2022-01,0540 - Secretary of the Natural Resources Agency,4.69
2022-01,0552 - Office of the Inspector General,4.39
2022-01,0555 - Secretary for Environmental Protection,3.96
2022-01,0559 - Secretary for Labor and Workforce Development Agency,2.16
2022-01,0650 - Office of Planning and Research,4.36
2022-01,0690 - Governor's Office of Emergency Services,2.62
2022-01,0820 - Department of Justice,3.19
2022-01,0845 - Department of Insurance,3
2022-01,0855 - California Gambling Control Commission,4.29
2022-01,0860 - State Board of Equalization,4.85
2022-01,0890 - Secretary of State,3.17
2022-01,1045 - Cannabis Control Appeals Panel,4
2022-01,1111 - Department of Consumer Affairs,2.43
2022-01,1115 - Department of Cannabis Control,3.73
2022-01,1700 - California Civil Rights Department,4.56
2022-01,1701 - Department of Financial Protection and Innovation,4.58
2022-01,1703 - California Privacy Protection Agency,3.33
2022-01,1750 - California Horse Racing Board,1.9
2022-01,2100 - Department of Alcoholic Beverage Control,2.19
2022-01,2120 - Alcoholic Beverage Control Appeals Board,3.67
2022-01,2240 - Department of Housing and Community Development,3.86
2022-01,2320 - Department of Real Estate,3.14
2022-01,2600 - California Transportation Commission,4.51
2022-01,2665 - High-Speed Rail Authority,3.72
2022-01,2720 - California Highway Patrol,0.13
2022-01,3105 - California African-American Museum,1.03
2022-01,3125 - California Tahoe Conservancy,4.88
2022-01,3340 - California Conservation Corps,0.94
2022-01,3355 - Office of Energy Infrastructure Safety,5
2022-01,3360 - Energy Resources Conservation and Development Commission,4.8
2022-01,3480 - Department of Conservation,3.89
2022-01,3540 - Department of Forestry and Fire Protection,0.1
2022-01,3560 - State Lands Commission,3.62
2022-01,3600 - Department of Fish and Wildlife,1.73
2022-01,3640 - Wildlife Conservation Board,2.21
2022-01,3720 - California Coastal Commission,4
2022-01,3760 - State Coastal Conservancy,4.55
2022-01,3780 - Native American Heritage Commission,4.63
2022-01,3790 - Department of Parks and Recreation,0.55
2022-01,3810 - Santa Monica Mountains Conservancy,5
2022-01,3820 - San Francisco Bay Conservation and Development Commission,5
2022-01,3825 - San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy,3.89
2022-01,3830 - San Joaquin River Conservancy,4.67
2022-01,3835 - Baldwin Hills Conservancy,4.67
2022-01,3840 - Delta Protection Commission,2.64
2022-01,3845 - San Diego River Conservancy,0
2022-01,3850 - Coachella Valley Mountains Conservancy,2.25
2022-01,3855 - Sierra Nevada Conservancy,4.54
2022-01,3860 - Department of Water Resources,2.36
2022-01,3862 - Central Valley Flood Protection Board,4.7
2022-01,3875 - Sacramento-San Joaquin Delta Conservancy,4.91
2022-01,3885 - Delta Stewardship Council,4.25
2022-01,3900 - State Air Resources Board,4.21
2022-01,3930 - Department of Pesticide Regulation,4.16
2022-01,3940 - State Water Resources Control Board,4.21
2022-01,3960 - Department of Toxic Substances Control,3.17
2022-01,3970 - Department of Resources Recycling and Recovery,4.2
2022-01,4100 - State Council on Developmental Disabilities,3.5
2022-01,4140 - Department of Health Care Access and Information,4.38
2022-01,4150 - Department of Managed Health Care,4.59
2022-01,4170 - Department of Aging,4.84
2022-01,4250 - California Children and Families Commission,3.06
2022-01,4260 - State Department of Health Care Services,3.03
2022-01,4265 - Department of Public Health,3.39
2022-01,4300 - Department of Developmental Services,1.08
2022-01,4440 - Department of State Hospitals,0.29
2022-01,4700 - Department of Community Services and Development,4.74
2022-01,4800 - California Health Benefit Exchange,4.83
2022-01,5160 - Department of Rehabilitation,2.7
2022-01,5175 - Department of Child Support Services,4.69
2022-01,5180 - Department of Social Services,3.57
2022-01,5225 - Department of Corrections and Rehabilitation,0.28
2022-01,5227 - Board of State and Community Corrections,4.92
2022-01,5420 - Prison Industry Authority,0.78
2022-01,6120 - California State Library,3.08
2022-01,6125 - Education Audit Appeals Panel,3.67
2022-01,6250 - California School for the Deaf - Riverside,0.09
2022-01,6360 - Commission on Teacher Credentialing,3.92
2022-01,6870 - Board of Governors of the California Community Colleges,4.92
2022-01,"6980 - Student Aid Commission, California",5
2022-01,7100 - Employment Development Department,4.13
2022-01,7300 - Agricultural Labor Relations Board,3.23
2022-01,7320 - Public Employment Relations Board,3.73
2022-01,7501 - Department of Human Resources,4.12
2022-01,7502 - California Department of Technology,4.33
2022-01,7503 - State Personnel Board,4.53
2022-01,7504 - Office of Data and Innovation,5
2022-01,7600 - California Department of Tax and Fee Administration,4.48
2022-01,7730 - Franchise Tax Board,2.77
2022-01,7760 - Department of General Services,1.98
2022-01,7870 - California Victim Compensation Board,3.91
2022-01,7910 - Office of Administrative Law,2.65
2022-01,7920 - State Teachers' Retirement System,4.98
2022-01,8120 - Commission on Peace Officer Standards and Training,4.66
2022-01,8140 - State Public Defender,3.63
2022-01,8560 - California Exposition and State Fair,0.06
2022-01,8570 - Department of Food and Agriculture,2.5
2022-01,8620 - Fair Political Practices Commission,4.9
2022-01,8660 - Public Utilities Commission,4.03
2022-01,"8780 - Milton Marks ""Little Hoover"" Commission on California State Government Organization and Economy",5
2022-01,"8830 - Law Revision Commission, California",5
2022-01,8860 - Department of Finance,4.02
2022-01,8880 - Financial Information System for California,4.89
2022-01,"8885 - States Mandates, Commission on",3.67
2022-01,8940 - Military Department,0.74
2022-01,8955 - Department of Veterans Affairs,0.56
2022-01,A059 - California Correctional Health Care Services,0.46
2022-01,A314 - California Science Center,0.63
2022-01,A341 - California Earthquake Authority,4.73
2022-01,A424 - Cradle-to-Career,4.71
2022-01,A541 - Board of Forestry and Fire Protection,0.36
2022-02,0500 - Governor's Office,3.29
2022-02,0509 - Governor's Office of Business and Economic Development (GO-Biz),3.96
2022-02,0511 - Secretary for Government Operations Agency,4.67
2022-02,"0515 - Secretary for Business, Consumer Services, and Housing Agency",4.39
2022-02,0521 - Secretary for Transportation Agency,3.64
2022-02,0531 - Office of Systems Integration,4.85
2022-02,0540 - Secretary of the Natural Resources Agency,4.69
2022-02,0552 - Office of the Inspector General,4.24
2022-02,0555 - Secretary for Environmental Protection,4
2022-02,0559 - Secretary for Labor and Workforce Development Agency,2.23
2022-02,0650 - Office of Planning and Research,4.36
2022-02,0690 - Governor's Office of Emergency Services,2.47
2022-02,0820 - Department of Justice,3.19
2022-02,0845 - Department of Insurance,3.02
2022-02,0855 - California Gambling Control Commission,4.32
2022-02,0860 - State Board of Equalization,4.85
2022-02,0890 - Secretary of State,3.17
2022-02,1045 - Cannabis Control Appeals Panel,4
2022-02,1111 - Department of Consumer Affairs,2.42
2022-02,1115 - Department of Cannabis Control,3.84
2022-02,1700 - California Civil Rights Department,4.56
2022-02,1701 - Department of Financial Protection and Innovation,4.6
2022-02,1703 - California Privacy Protection Agency,4
2022-02,1750 - California Horse Racing Board,1.87
2022-02,2100 - Department of Alcoholic Beverage Control,2.14
2022-02,2120 - Alcoholic Beverage Control Appeals Board,3.67
2022-02,2240 - Department of Housing and Community Development,3.88
2022-02,2320 - Department of Real Estate,3.14
2022-02,2600 - California Transportation Commission,4.38
2022-02,2665 - High-Speed Rail Authority,3.75
2022-02,2720 - California Highway Patrol,0.13
2022-02,3105 - California African-American Museum,1.03
2022-02,3125 - California Tahoe Conservancy,4.88
2022-02,3340 - California Conservation Corps,0.97
2022-02,3355 - Office of Energy Infrastructure Safety,4.79
2022-02,3360 - Energy Resources Conservation and Development Commission,4.76
2022-02,3480 - Department of Conservation,3.87
2022-02,3540 - Department of Forestry and Fire Protection,0.12
2022-02,3560 - State Lands Commission,3.61
2022-02,3600 - Department of Fish and Wildlife,2.08
2022-02,3640 - Wildlife Conservation Board,3.88
2022-02,3720 - California Coastal Commission,4
2022-02,3760 - State Coastal Conservancy,4.42
2022-02,3780 - Native American Heritage Commission,4.63
2022-02,3790 - Department of Parks and Recreation,0.55
2022-02,3810 - Santa Monica Mountains Conservancy,5
2022-02,3820 - San Francisco Bay Conservation and Development Commission,5
2022-02,3825 - San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy,3.89
2022-02,3830 - San Joaquin River Conservancy,4.67
2022-02,3835 - Baldwin Hills Conservancy,4.33
2022-02,3840 - Delta Protection Commission,2.44
2022-02,3845 - San Diego River Conservancy,0
2022-02,3850 - Coachella Valley Mountains Conservancy,2.25
2022-02,3855 - Sierra Nevada Conservancy,4.13
2022-02,3860 - Department of Water Resources,2.32
2022-02,3862 - Central Valley Flood Protection Board,4.31
2022-02,3875 - Sacramento-San Joaquin Delta Conservancy,4.91
2022-02,3885 - Delta Stewardship Council,4.25
2022-02,3900 - State Air Resources Board,4.07
2022-02,3930 - Department of Pesticide Regulation,4.14
2022-02,3940 - State Water Resources Control Board,4.16
2022-02,3960 - Department of Toxic Substances Control,3.44
2022-02,3970 - Department of Resources Recycling and Recovery,4.07
2022-02,4100 - State Council on Developmental Disabilities,3.5
2022-02,4140 - Department of Health Care Access and Information,4.47
2022-02,4150 - Department of Managed Health Care,4.52
2022-02,4170 - Department of Aging,4.79
2022-02,4250 - California Children and Families Commission,3.05
2022-02,4260 - State Department of Health Care Services,3.1
2022-02,4265 - Department of Public Health,3.39
2022-02,4300 - Department of Developmental Services,1.08
2022-02,4440 - Department of State Hospitals,0.29
2022-02,4700 - Department of Community Services and Development,4.86
2022-02,4800 - California Health Benefit Exchange,4.69
2022-02,5160 - Department of Rehabilitation,2.63
2022-02,5175 - Department of Child Support Services,4.69
2022-02,5180 - Department of Social Services,3.57
2022-02,5225 - Department of Corrections and Rehabilitation,0.29
2022-02,5227 - Board of State and Community Corrections,4.83
2022-02,5420 - Prison Industry Authority,0.76
2022-02,6120 - California State Library,3.05
2022-02,6125 - Education Audit Appeals Panel,3.67
2022-02,6250 - California School for the Deaf - Riverside,0.09
2022-02,6360 - Commission on Teacher Credentialing,3.89
2022-02,6870 - Board of Governors of the California Community Colleges,4.92
2022-02,"6980 - Student Aid Commission, California",5
2022-02,7100 - Employment Development Department,4.19
2022-02,7300 - Agricultural Labor Relations Board,3.06
2022-02,7320 - Public Employment Relations Board,3.74
2022-02,7501 - Department of Human Resources,3.92
2022-02,7502 - California Department of Technology,4.94
2022-02,7503 - State Personnel Board,4.54
2022-02,7504 - Office of Data and Innovation,5
