Report Month,Org Code,Department,All reported employees,Telework eligible employees,Telework eligible / All reported,Remote centered employees,Remote centered / All reported,Remote centered / Telework eligible,Office centered employees,Office centered / All reported,Office centered / Telework eligible,Teleworker (remote + office),Teleworker / All reported,Teleworker / Telework eligible,Not teleworking employees from eligible,Not teleworking / All reported,Not teleworking / Telework eligible,Not teleworking + Not eligible,Not teleworking + Not eligible / All reported,Telework days % from eligible
2021-10,3790,Department of Parks and Recreation,5823,1162,20.00%,766,13.20%,65.90%,209,3.60%,18.00%,975,16.70%,83.90%,187,3.20%,16.10%,4848,83.30%,60.60%
2021-10,3930,Department of Pesticide Regulation,415,410,98.80%,380,91.60%,92.70%,27,6.50%,6.60%,407,98.10%,99.30%,3,0.70%,0.70%,8,1.90%,85.50%
2021-10,4265,Department of Public Health,3938,3938,100.00%,2784,70.70%,70.70%,28,0.70%,0.70%,2812,71.40%,71.40%,1126,28.60%,28.60%,1126,28.60%,69.00%
2021-10,2320,Department of Real Estate,338,328,97.00%,282,83.40%,86.00%,40,11.80%,12.20%,322,95.30%,98.20%,6,1.80%,1.80%,16,4.70%,65.30%
2021-10,5160,Department of Rehabilitation,1778,1646,92.60%,1079,60.70%,65.60%,459,25.80%,27.90%,1538,86.50%,93.40%,108,6.10%,6.60%,240,13.50%,59.60%
2021-10,3970,Department of Resources Recycling and Recovery,770,764,99.20%,700,90.90%,91.60%,42,5.50%,5.50%,742,96.40%,97.10%,22,2.90%,2.90%,28,3.60%,86.10%
2021-10,5180,Department of Social Services,5182,5151,99.40%,3394,65.50%,65.90%,1757,33.90%,34.10%,5151,99.40%,100.00%,0,0.00%,0.00%,31,0.60%,71.60%
2021-10,4440,Department of State Hospitals,11447,973,8.50%,677,5.90%,69.60%,245,2.10%,25.20%,922,8.10%,94.80%,51,0.40%,5.20%,10525,91.90%,67.00%
2021-10,3960,Department of Toxic Substances Control,963,963,100.00%,665,69.10%,69.10%,94,9.80%,9.80%,759,78.80%,78.80%,204,21.20%,21.20%,204,21.20%,65.90%
2021-10,8955,Department of Veterans Affairs,2826,430,15.20%,345,12.20%,80.20%,71,2.50%,16.50%,416,14.70%,96.70%,14,0.50%,3.30%,2410,85.30%,73.50%
2021-10,3860,Department of Water Resources,3452,2168,62.80%,1661,48.10%,76.60%,507,14.70%,23.40%,2168,62.80%,100.00%,0,0.00%,0.00%,1284,37.20%,70.60%
2021-10,6125,Education Audit Appeals Panel,3,3,100.00%,3,100.00%,100.00%,0,0.00%,0.00%,3,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,73.30%
2021-10,7100,Employment Development Department,2210,1694,76.70%,1470,66.50%,86.80%,197,8.90%,11.60%,1667,75.40%,98.40%,27,1.20%,1.60%,543,24.60%,84.00%
2021-10,3360,Energy Resources Conservation and Development Commission,598,598,100.00%,588,98.30%,98.30%,10,1.70%,1.70%,598,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,97.00%
2021-10,8620,Fair Political Practices Commission,81,80,98.80%,79,97.50%,98.80%,0,0.00%,0.00%,79,97.50%,98.80%,1,1.20%,1.30%,2,2.50%,98.70%
2021-10,8880,Financial Information System for California,278,278,100.00%,276,99.30%,99.30%,2,0.70%,0.70%,278,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,98.40%
2021-10,7730,Franchise Tax Board,6023,5110,84.80%,3472,57.60%,67.90%,124,2.10%,2.40%,3596,59.70%,70.40%,1514,25.10%,29.60%,2427,40.30%,66.60%
2021-10,500,Governor's Office,103,103,100.00%,69,67.00%,67.00%,22,21.40%,21.40%,91,88.30%,88.30%,12,11.70%,11.70%,12,11.70%,67.00%
2021-10,509,Governor's Office of Business and Economic Development (GO-Biz),127,125,98.40%,115,90.60%,92.00%,9,7.10%,7.20%,124,97.60%,99.20%,1,0.80%,0.80%,3,2.40%,90.10%
2021-10,690,Governor's Office of Emergency Services,1354,1048,77.40%,755,55.80%,72.00%,164,12.10%,15.60%,919,67.90%,87.70%,129,9.50%,12.30%,435,32.10%,70.00%
2021-10,2665,High-Speed Rail Authority,312,291,93.30%,248,79.50%,85.20%,38,12.20%,13.10%,286,91.70%,98.30%,5,1.60%,1.70%,26,8.30%,82.10%
2021-10,8830,"Law Revision Commission, California",7,7,100.00%,7,100.00%,100.00%,0,0.00%,0.00%,7,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,100.00%
2021-10,8940,Military Department,38,38,100.00%,38,100.00%,100.00%,0,0.00%,0.00%,38,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,100.00%
2021-10,8780,"Milton Marks ""Little Hoover"" Commission on California State Government Organization and Economy",7,7,100.00%,7,100.00%,100.00%,0,0.00%,0.00%,7,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,100.00%
2021-10,3780,Native American Heritage Commission,8,8,100.00%,7,87.50%,87.50%,1,12.50%,12.50%,8,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,92.50%
2021-10,7910,Office of Administrative Law,23,21,91.30%,13,56.50%,61.90%,8,34.80%,38.10%,21,91.30%,100.00%,0,0.00%,0.00%,2,8.70%,58.10%
2021-10,7504,Office of Data and Innovation,17,17,100.00%,17,100.00%,100.00%,0,0.00%,0.00%,17,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,100.00%
2021-10,3355,Office of Energy Infrastructure Safety,26,26,100.00%,26,100.00%,100.00%,0,0.00%,0.00%,26,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,100.00%
2021-10,650,Office of Planning and Research,114,112,98.20%,100,87.70%,89.30%,12,10.50%,10.70%,112,98.20%,100.00%,0,0.00%,0.00%,2,1.80%,89.10%
2021-10,531,Office of Systems Integration,335,335,100.00%,333,99.40%,99.40%,1,0.30%,0.30%,334,99.70%,99.70%,1,0.30%,0.30%,1,0.30%,97.50%
2021-10,552,Office of the Inspector General,130,130,100.00%,124,95.40%,95.40%,1,0.80%,0.80%,125,96.20%,96.20%,5,3.80%,3.80%,5,3.80%,92.20%
2021-10,5420,Prison Industry Authority,1022,23,2.30%,9,0.90%,39.10%,14,1.40%,60.90%,23,2.30%,100.00%,0,0.00%,0.00%,999,97.70%,50.00%
2021-10,7320,Public Employment Relations Board,69,69,100.00%,62,89.90%,89.90%,6,8.70%,8.70%,68,98.60%,98.60%,1,1.40%,1.40%,1,1.40%,77.10%
2021-10,8660,Public Utilities Commission,1240,1240,100.00%,1180,95.20%,95.20%,59,4.80%,4.80%,1239,99.90%,99.90%,1,0.10%,0.10%,1,0.10%,81.30%
2021-10,3875,Sacramento-San Joaquin Delta Conservancy,11,11,100.00%,11,100.00%,100.00%,0,0.00%,0.00%,11,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,100.00%
2021-10,3845,San Diego River Conservancy,3,3,100.00%,0,0.00%,0.00%,0,0.00%,0.00%,0,0.00%,0.00%,3,100.00%,100.00%,3,100.00%,0.00%
2021-10,3820,San Francisco Bay Conservation and Development Commission,48,48,100.00%,48,100.00%,100.00%,0,0.00%,0.00%,48,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,100.00%
2021-10,3825,San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy,8,8,100.00%,8,100.00%,100.00%,0,0.00%,0.00%,8,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,67.50%
2021-10,3830,San Joaquin River Conservancy,3,3,100.00%,3,100.00%,100.00%,0,0.00%,0.00%,3,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,93.30%
2021-10,3810,Santa Monica Mountains Conservancy,7,7,100.00%,7,100.00%,100.00%,0,0.00%,0.00%,7,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,100.00%
2021-10,515,"Secretary for Business, Consumer Services, and Housing Agency",47,47,100.00%,45,95.70%,95.70%,1,2.10%,2.10%,46,97.90%,97.90%,1,2.10%,2.10%,1,2.10%,89.80%
2021-10,555,Secretary for Environmental Protection,78,70,89.70%,65,83.30%,92.90%,0,0.00%,0.00%,65,83.30%,92.90%,5,6.40%,7.10%,13,16.70%,90.30%
2021-10,511,Secretary for Government Operations Agency,24,24,100.00%,23,95.80%,95.80%,1,4.20%,4.20%,24,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,91.70%
2021-10,559,Secretary for Labor and Workforce Development Agency,32,28,87.50%,14,43.80%,50.00%,10,31.30%,35.70%,24,75.00%,85.70%,4,12.50%,14.30%,8,25.00%,50.00%
2021-10,521,Secretary for Transportation Agency,22,22,100.00%,19,86.40%,86.40%,2,9.10%,9.10%,21,95.50%,95.50%,1,4.50%,4.50%,1,4.50%,72.70%
2021-10,890,Secretary of State,563,563,100.00%,493,87.60%,87.60%,62,11.00%,11.00%,555,98.60%,98.60%,8,1.40%,1.40%,8,1.40%,63.30%
2021-10,540,Secretary of the Natural Resources Agency,86,86,100.00%,78,90.70%,90.70%,8,9.30%,9.30%,86,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,94.60%
2021-10,3855,Sierra Nevada Conservancy,35,35,100.00%,33,94.30%,94.30%,2,5.70%,5.70%,35,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,93.50%
2021-10,3900,State Air Resources Board,1638,1632,99.60%,1524,93.00%,93.40%,97,5.90%,5.90%,1621,99.00%,99.30%,11,0.70%,0.70%,17,1.00%,91.90%
2021-10,860,State Board of Equalization,154,154,100.00%,154,100.00%,100.00%,0,0.00%,0.00%,154,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,100.00%
2021-10,3760,State Coastal Conservancy,54,53,98.10%,52,96.30%,98.10%,1,1.90%,1.90%,53,98.10%,100.00%,0,0.00%,0.00%,1,1.90%,93.60%
2021-10,4100,State Council on Developmental Disabilities,66,66,100.00%,49,74.20%,74.20%,12,18.20%,18.20%,61,92.40%,92.40%,5,7.60%,7.60%,5,7.60%,70.00%
2021-10,3560,State Lands Commission,195,166,85.10%,154,79.00%,92.80%,10,5.10%,6.00%,164,84.10%,98.80%,2,1.00%,1.20%,31,15.90%,87.10%
2021-10,7503,State Personnel Board,78,77,98.70%,77,98.70%,100.00%,0,0.00%,0.00%,77,98.70%,100.00%,0,0.00%,0.00%,1,1.30%,91.60%
2021-10,8140,State Public Defender,80,80,100.00%,57,71.30%,71.30%,15,18.80%,18.80%,72,90.00%,90.00%,8,10.00%,10.00%,8,10.00%,73.90%
2021-10,7920,State Teachers' Retirement System,1292,1290,99.80%,1290,99.80%,100.00%,0,0.00%,0.00%,1290,99.80%,100.00%,0,0.00%,0.00%,2,0.20%,100.00%
2021-10,3940,State Water Resources Control Board,2222,2222,100.00%,1865,83.90%,83.90%,89,4.00%,4.00%,1954,87.90%,87.90%,268,12.10%,12.10%,268,12.10%,83.40%
2021-10,8885,"States Mandates, Commission on",12,11,91.70%,10,83.30%,90.90%,1,8.30%,9.10%,11,91.70%,100.00%,0,0.00%,0.00%,1,8.30%,78.20%
2021-10,6980,"Student Aid Commission, California",138,138,100.00%,138,100.00%,100.00%,0,0.00%,0.00%,138,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,100.00%
2021-10,3640,Wildlife Conservation Board,34,32,94.10%,15,44.10%,46.90%,1,2.90%,3.10%,16,47.10%,50.00%,16,47.10%,50.00%,18,52.90%,47.50%
2021-11,7300,Agricultural Labor Relations Board,62,62,100.00%,54,87.10%,87.10%,5,8.10%,8.10%,59,95.20%,95.20%,3,4.80%,4.80%,3,4.80%,66.50%
2021-11,2120,Alcoholic Beverage Control Appeals Board,6,6,100.00%,5,83.30%,83.30%,1,16.70%,16.70%,6,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,78.60%
2021-11,3835,Baldwin Hills Conservancy,3,3,100.00%,3,100.00%,100.00%,0,0.00%,0.00%,3,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,93.30%
2021-11,A541,Board of Forestry and Fire Protection,12,1,8.30%,1,8.30%,100.00%,0,0.00%,0.00%,1,8.30%,100.00%,0,0.00%,0.00%,11,91.70%,80.00%
2021-11,6870,Board of Governors of the California Community Colleges,170,170,100.00%,170,100.00%,100.00%,0,0.00%,0.00%,170,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,100.00%
2021-11,5227,Board of State and Community Corrections,100,100,100.00%,99,99.00%,99.00%,1,1.00%,1.00%,100,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,99.20%
2021-11,3105,California African-American Museum,35,18,51.40%,18,51.40%,100.00%,0,0.00%,0.00%,18,51.40%,100.00%,0,0.00%,0.00%,17,48.60%,100.00%
2021-11,4250,California Children and Families Commission,13,13,100.00%,13,100.00%,100.00%,0,0.00%,0.00%,13,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,60.00%
2021-11,1700,California Civil Rights Department,262,262,100.00%,252,96.20%,96.20%,5,1.90%,1.90%,257,98.10%,98.10%,5,1.90%,1.90%,5,1.90%,91.20%
2021-11,3720,California Coastal Commission,178,178,100.00%,178,100.00%,100.00%,0,0.00%,0.00%,178,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,80.00%
2021-11,3340,California Conservation Corps,514,148,28.80%,99,19.30%,66.90%,49,9.50%,33.10%,148,28.80%,100.00%,0,0.00%,0.00%,366,71.20%,66.30%
2021-11,A059,California Correctional Health Care Services,15398,2238,14.50%,1475,9.60%,65.90%,604,3.90%,27.00%,2079,13.50%,92.90%,159,1.00%,7.10%,13319,86.50%,64.70%
2021-11,7600,California Department of Tax and Fee Administration,3506,3474,99.10%,3346,95.40%,96.30%,107,3.10%,3.10%,3453,98.50%,99.40%,21,0.60%,0.60%,53,1.50%,91.40%
2021-11,7502,California Department of Technology,887,885,99.80%,772,87.00%,87.20%,12,1.40%,1.40%,784,88.40%,88.60%,101,11.40%,11.40%,103,11.60%,86.90%
2021-11,A341,California Earthquake Authority,84,84,100.00%,81,96.40%,96.40%,2,2.40%,2.40%,83,98.80%,98.80%,1,1.20%,1.20%,1,1.20%,95.00%
2021-11,8560,California Exposition and State Fair,102,2,2.00%,1,1.00%,50.00%,1,1.00%,50.00%,2,2.00%,100.00%,0,0.00%,0.00%,100,98.00%,60.00%
2021-11,855,California Gambling Control Commission,37,37,100.00%,36,97.30%,97.30%,1,2.70%,2.70%,37,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,92.10%
2021-11,4800,California Health Benefit Exchange,1331,1331,100.00%,1296,97.40%,97.40%,18,1.40%,1.40%,1314,98.70%,98.70%,17,1.30%,1.30%,17,1.30%,97.90%
2021-11,2720,California Highway Patrol,9834,1503,15.30%,157,1.60%,10.40%,336,3.40%,22.40%,493,5.00%,32.80%,1010,10.30%,67.20%,9341,95.00%,17.30%
2021-11,1750,California Horse Racing Board,54,29,53.70%,23,42.60%,79.30%,5,9.30%,17.20%,28,51.90%,96.60%,1,1.90%,3.40%,26,48.10%,71.10%
2021-11,1703,California Privacy Protection Agency,2,2,100.00%,1,50.00%,50.00%,0,0.00%,0.00%,1,50.00%,50.00%,1,50.00%,50.00%,1,50.00%,55.60%
2021-11,6250,California School for the Deaf - Riverside,327,19,5.80%,3,0.90%,15.80%,10,3.10%,52.60%,13,4.00%,68.40%,6,1.80%,31.60%,314,96.00%,32.80%
2021-11,A314,California Science Center,101,32,31.70%,2,2.00%,6.30%,28,27.70%,87.50%,30,29.70%,93.80%,2,2.00%,6.30%,71,70.30%,40.00%
2021-11,6120,California State Library,149,143,96.00%,80,53.70%,55.90%,60,40.30%,42.00%,140,94.00%,97.90%,3,2.00%,2.10%,9,6.00%,63.00%
2021-11,3125,California Tahoe Conservancy,42,42,100.00%,41,97.60%,97.60%,0,0.00%,0.00%,41,97.60%,97.60%,1,2.40%,2.40%,1,2.40%,97.60%
2021-11,2600,California Transportation Commission,34,34,100.00%,34,100.00%,100.00%,0,0.00%,0.00%,34,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,89.40%
2021-11,7870,California Victim Compensation Board,230,225,97.80%,224,97.40%,99.60%,0,0.00%,0.00%,224,97.40%,99.60%,1,0.40%,0.40%,6,2.60%,99.60%
2021-11,1045,Cannabis Control Appeals Panel,8,8,100.00%,6,75.00%,75.00%,2,25.00%,25.00%,8,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,80.00%
2021-11,3862,Central Valley Flood Protection Board,54,54,100.00%,54,100.00%,100.00%,0,0.00%,0.00%,54,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,94.80%
2021-11,3850,Coachella Valley Mountains Conservancy,4,4,100.00%,1,25.00%,25.00%,3,75.00%,75.00%,4,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,35.90%
2021-11,8825,Commission on Asian and Pacific Islander American Affairs,1,1,100.00%,1,100.00%,100.00%,0,0.00%,0.00%,1,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,100.00%
2021-11,8120,Commission on Peace Officer Standards and Training,133,133,100.00%,131,98.50%,98.50%,0,0.00%,0.00%,131,98.50%,98.50%,2,1.50%,1.50%,2,1.50%,60.50%
2021-11,6360,Commission on Teacher Credentialing,159,145,91.20%,138,86.80%,95.20%,7,4.40%,4.80%,145,91.20%,100.00%,0,0.00%,0.00%,14,8.80%,87.20%
2021-11,A424,Cradle-to-Career,3,3,100.00%,3,100.00%,100.00%,0,0.00%,0.00%,3,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,86.70%
2021-11,3840,Delta Protection Commission,5,5,100.00%,4,80.00%,80.00%,1,20.00%,20.00%,5,100.00%,100.00%,0,0.00%,0.00%,0,0.00%,74.00%
