Report Month,Department,Avg Office Days/Week
2021-11,"8780 - Milton Marks ""Little Hoover"" Commission on California State Government Organization and Economy",0
2021-11,8825 - Commission on Asian and Pacific Islander American Affairs,0
2021-11,"8830 - Law Revision Commission, California",0
2021-11,8860 - Department of Finance,0.86
2021-11,8880 - Financial Information System for California,0.06
2021-11,"8885 - States Mandates, Commission on",1.33
2021-11,8940 - Military Department,0
2021-11,8955 - Department of Veterans Affairs,4.44
2021-11,A059 - California Correctional Health Care Services,4.51
2021-11,A314 - California Science Center,4.37
2021-11,A341 - California Earthquake Authority,0.25
2021-11,A424 - Cradle-to-Career,0.67
2021-11,A541 - Board of Forestry and Fire Protection,4.67
2021-12,0500 - Governor's Office,1.64
2021-12,0509 - Governor's Office of Business and Economic Development (GO-Biz),0.5
2021-12,0511 - Secretary for Government Operations Agency,0.38
2021-12,"0515 - Secretary for Business, Consumer Services, and Housing Agency",0.54
2021-12,0521 - Secretary for Transportation Agency,1.36
2021-12,0531 - Office of Systems Integration,0.15
2021-12,0540 - Secretary of the Natural Resources Agency,0.28
2021-12,0552 - Office of the Inspector General,0.29
2021-12,0555 - Secretary for Environmental Protection,0.96
2021-12,0559 - Secretary for Labor and Workforce Development Agency,2.85
2021-12,0650 - Office of Planning and Research,0.62
2021-12,0690 - Governor's Office of Emergency Services,2.16
2021-12,0820 - Department of Justice,1.58
2021-12,0845 - Department of Insurance,1.87
2021-12,0855 - California Gambling Control Commission,0.32
2021-12,0860 - State Board of Equalization,0
2021-12,0890 - Secretary of State,1.83
2021-12,1045 - Cannabis Control Appeals Panel,1
2021-12,1111 - Department of Consumer Affairs,2.37
2021-12,1115 - Department of Cannabis Control,1.23
2021-12,1700 - California Civil Rights Department,0.44
2021-12,1701 - Department of Financial Protection and Innovation,0.42
2021-12,1703 - California Privacy Protection Agency,1.33
2021-12,1750 - California Horse Racing Board,2.74
2021-12,2100 - Department of Alcoholic Beverage Control,2.28
2021-12,2120 - Alcoholic Beverage Control Appeals Board,1
2021-12,2240 - Department of Housing and Community Development,1.1
2021-12,2320 - Department of Real Estate,1.82
2021-12,2600 - California Transportation Commission,0.5
2021-12,2665 - High-Speed Rail Authority,1.09
2021-12,2720 - California Highway Patrol,4.87
2021-12,3105 - California African-American Museum,0
2021-12,3125 - California Tahoe Conservancy,0.12
2021-12,3340 - California Conservation Corps,4.02
2021-12,3355 - Office of Energy Infrastructure Safety,0
2021-12,3360 - Energy Resources Conservation and Development Commission,0.15
2021-12,3480 - Department of Conservation,1.12
2021-12,3540 - Department of Forestry and Fire Protection,4.92
2021-12,3560 - State Lands Commission,1.33
2021-12,3600 - Department of Fish and Wildlife,2.83
2021-12,3640 - Wildlife Conservation Board,2.74
2021-12,3720 - California Coastal Commission,1
2021-12,3760 - State Coastal Conservancy,0.45
2021-12,3780 - Native American Heritage Commission,0.38
2021-12,3790 - Department of Parks and Recreation,2.49
2021-12,3810 - Santa Monica Mountains Conservancy,0
2021-12,3820 - San Francisco Bay Conservation and Development Commission,0
2021-12,3825 - San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy,1.11
2021-12,3830 - San Joaquin River Conservancy,0.33
2021-12,3835 - Baldwin Hills Conservancy,0.33
2021-12,3840 - Delta Protection Commission,1.3
2021-12,3845 - San Diego River Conservancy,5
2021-12,3850 - Coachella Valley Mountains Conservancy,3.13
2021-12,3855 - Sierra Nevada Conservancy,0.3
2021-12,3860 - Department of Water Resources,2.77
2021-12,3862 - Central Valley Flood Protection Board,0.24
2021-12,3875 - Sacramento-San Joaquin Delta Conservancy,0
2021-12,3885 - Delta Stewardship Council,0.35
2021-12,3900 - State Air Resources Board,1.09
2021-12,3930 - Department of Pesticide Regulation,0.77
2021-12,3940 - State Water Resources Control Board,0.87
2021-12,3960 - Department of Toxic Substances Control,2.18
2021-12,3970 - Department of Resources Recycling and Recovery,0.59
2021-12,4100 - State Council on Developmental Disabilities,1.5
2021-12,4140 - Department of Health Care Access and Information,0.58
2021-12,4150 - Department of Managed Health Care,0.34
2021-12,4170 - Department of Aging,0.04
2021-12,4250 - California Children and Families Commission,2
2021-12,4265 - Department of Public Health,1.52
2021-12,4300 - Department of Developmental Services,3.36
2021-12,4440 - Department of State Hospitals,4.71
2021-12,4700 - Department of Community Services and Development,0.14
2021-12,4800 - California Health Benefit Exchange,0.1
2021-12,5160 - Department of Rehabilitation,2.12
2021-12,5175 - Department of Child Support Services,0.23
2021-12,5180 - Department of Social Services,1.4
2021-12,5225 - Department of Corrections and Rehabilitation,4.72
2021-12,5227 - Board of State and Community Corrections,0.04
2021-12,5420 - Prison Industry Authority,4.47
2021-12,6120 - California State Library,1.92
2021-12,6125 - Education Audit Appeals Panel,1.33
2021-12,6250 - California School for the Deaf - Riverside,4.69
2021-12,6360 - Commission on Teacher Credentialing,0.88
2021-12,6870 - Board of Governors of the California Community Colleges,0
2021-12,"6980 - Student Aid Commission, California",0
2021-12,7100 - Employment Development Department,1.64
2021-12,7300 - Agricultural Labor Relations Board,1.68
2021-12,7320 - Public Employment Relations Board,1.21
2021-12,7501 - Department of Human Resources,0.64
2021-12,7502 - California Department of Technology,0.54
2021-12,7503 - State Personnel Board,0.44
2021-12,7504 - Office of Data and Innovation,0
2021-12,7600 - California Department of Tax and Fee Administration,0.46
2021-12,7730 - Franchise Tax Board,1.47
2021-12,7760 - Department of General Services,3.01
2021-12,7870 - California Victim Compensation Board,0.11
2021-12,7910 - Office of Administrative Law,2.35
2021-12,7920 - State Teachers' Retirement System,0
2021-12,8120 - Commission on Peace Officer Standards and Training,1.9
2021-12,8140 - State Public Defender,1.33
2021-12,8560 - California Exposition and State Fair,1.97
2021-12,8570 - Department of Food and Agriculture,2.45
2021-12,8620 - Fair Political Practices Commission,0.12
2021-12,8660 - Public Utilities Commission,0.92
2021-12,"8780 - Milton Marks ""Little Hoover"" Commission on California State Government Organization and Economy",0
2021-12,"8830 - Law Revision Commission, California",0
2021-12,8860 - Department of Finance,0.86
2021-12,8880 - Financial Information System for California,0.04
2021-12,"8885 - States Mandates, Commission on",1.33
2021-12,8940 - Military Department,0
2021-12,8955 - Department of Veterans Affairs,4.44
2021-12,A059 - California Correctional Health Care Services,4.51
2021-12,A314 - California Science Center,4.37
2021-12,A341 - California Earthquake Authority,0.23
2021-12,A424 - Cradle-to-Career,0.4
2021-12,A541 - Board of Forestry and Fire Protection,4.67
2022-01,0500 - Governor's Office,1.51
2022-01,0509 - Governor's Office of Business and Economic Development (GO-Biz),0.55
2022-01,0511 - Secretary for Government Operations Agency,0.31
2022-01,"0515 - Secretary for Business, Consumer Services, and Housing Agency",0.54
2022-01,0521 - Secretary for Transportation Agency,1.36
2022-01,0531 - Office of Systems Integration,0.2
2022-01,0540 - Secretary of the Natural Resources Agency,0.28
2022-01,0552 - Office of the Inspector General,0.28
2022-01,0555 - Secretary for Environmental Protection,1.03
2022-01,0559 - Secretary for Labor and Workforce Development Agency,2.78
2022-01,0650 - Office of Planning and Research,0.64
2022-01,0690 - Governor's Office of Emergency Services,2.25
2022-01,0820 - Department of Justice,1.58
2022-01,0845 - Department of Insurance,1.82
2022-01,0855 - California Gambling Control Commission,0.5
2022-01,0860 - State Board of Equalization,0
2022-01,0890 - Secretary of State,1.83
2022-01,1045 - Cannabis Control Appeals Panel,1
2022-01,1111 - Department of Consumer Affairs,2.38
2022-01,1115 - Department of Cannabis Control,1.23
2022-01,1700 - California Civil Rights Department,0.44
2022-01,1701 - Department of Financial Protection and Innovation,0.41
2022-01,1703 - California Privacy Protection Agency,1.33
2022-01,1750 - California Horse Racing Board,2.71
2022-01,2100 - Department of Alcoholic Beverage Control,2.26
2022-01,2120 - Alcoholic Beverage Control Appeals Board,1
2022-01,2240 - Department of Housing and Community Development,1.09
2022-01,2320 - Department of Real Estate,1.82
2022-01,2600 - California Transportation Commission,0.49
2022-01,2665 - High-Speed Rail Authority,1.07
2022-01,2720 - California Highway Patrol,4.87
2022-01,3105 - California African-American Museum,0
2022-01,3125 - California Tahoe Conservancy,0.12
2022-01,3340 - California Conservation Corps,4.03
2022-01,3355 - Office of Energy Infrastructure Safety,0
2022-01,3360 - Energy Resources Conservation and Development Commission,0.15
2022-01,3480 - Department of Conservation,1.11
2022-01,3540 - Department of Forestry and Fire Protection,4.9
2022-01,3560 - State Lands Commission,1.33
2022-01,3600 - Department of Fish and Wildlife,2.83
2022-01,3640 - Wildlife Conservation Board,2.74
2022-01,3720 - California Coastal Commission,1
2022-01,3760 - State Coastal Conservancy,0.45
2022-01,3780 - Native American Heritage Commission,0.38
2022-01,3790 - Department of Parks and Recreation,2.52
2022-01,3810 - Santa Monica Mountains Conservancy,0
2022-01,3820 - San Francisco Bay Conservation and Development Commission,0
2022-01,3825 - San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy,1.11
2022-01,3830 - San Joaquin River Conservancy,0.33
2022-01,3835 - Baldwin Hills Conservancy,0.33
2022-01,3840 - Delta Protection Commission,2.36
2022-01,3845 - San Diego River Conservancy,5
2022-01,3850 - Coachella Valley Mountains Conservancy,2.63
2022-01,3855 - Sierra Nevada Conservancy,0.31
2022-01,3860 - Department of Water Resources,2.63
2022-01,3862 - Central Valley Flood Protection Board,0.23
2022-01,3875 - Sacramento-San Joaquin Delta Conservancy,0
2022-01,3885 - Delta Stewardship Council,0.64
2022-01,3900 - State Air Resources Board,0.68
2022-01,3930 - Department of Pesticide Regulation,0.62
2022-01,3940 - State Water Resources Control Board,0.77
2022-01,3960 - Department of Toxic Substances Control,1.8
2022-01,3970 - Department of Resources Recycling and Recovery,0.6
2022-01,4100 - State Council on Developmental Disabilities,1.5
2022-01,4140 - Department of Health Care Access and Information,0.58
2022-01,4150 - Department of Managed Health Care,0.4
2022-01,4170 - Department of Aging,0.05
2022-01,4250 - California Children and Families Commission,1.75
2022-01,4260 - State Department of Health Care Services,1.96
2022-01,4265 - Department of Public Health,1.52
2022-01,4300 - Department of Developmental Services,3.36
2022-01,4440 - Department of State Hospitals,4.7
2022-01,4700 - Department of Community Services and Development,0.14
2022-01,4800 - California Health Benefit Exchange,0.11
2022-01,5160 - Department of Rehabilitation,2.05
2022-01,5175 - Department of Child Support Services,0.22
2022-01,5180 - Department of Social Services,1.4
2022-01,5225 - Department of Corrections and Rehabilitation,4.72
2022-01,5227 - Board of State and Community Corrections,0.04
2022-01,5420 - Prison Industry Authority,4.24
2022-01,6120 - California State Library,1.85
2022-01,6125 - Education Audit Appeals Panel,1.33
2022-01,6250 - California School for the Deaf - Riverside,4.69
2022-01,6360 - Commission on Teacher Credentialing,0.88
2022-01,6870 - Board of Governors of the California Community Colleges,0
2022-01,"6980 - Student Aid Commission, California",0
2022-01,7100 - Employment Development Department,0.82
2022-01,7300 - Agricultural Labor Relations Board,1.77
2022-01,7320 - Public Employment Relations Board,1.21
2022-01,7501 - Department of Human Resources,0.66
2022-01,7502 - California Department of Technology,0.58
2022-01,7503 - State Personnel Board,0.45
2022-01,7504 - Office of Data and Innovation,0
2022-01,7600 - California Department of Tax and Fee Administration,0.46
2022-01,7730 - Franchise Tax Board,1.4
2022-01,7760 - Department of General Services,3.01
2022-01,7870 - California Victim Compensation Board,1.05
2022-01,7910 - Office of Administrative Law,2.35
2022-01,7920 - State Teachers' Retirement System,0
2022-01,8120 - Commission on Peace Officer Standards and Training,0.17
2022-01,8140 - State Public Defender,1.36
2022-01,8560 - California Exposition and State Fair,1.83
2022-01,8570 - Department of Food and Agriculture,2.25
2022-01,8620 - Fair Political Practices Commission,0
2022-01,8660 - Public Utilities Commission,0.92
2022-01,"8780 - Milton Marks ""Little Hoover"" Commission on California State Government Organization and Economy",0
2022-01,"8830 - Law Revision Commission, California",0
2022-01,8860 - Department of Finance,0.86
2022-01,8880 - Financial Information System for California,0.07
2022-01,"8885 - States Mandates, Commission on",1.33
2022-01,8940 - Military Department,4.26
2022-01,8955 - Department of Veterans Affairs,4.44
2022-01,A059 - California Correctional Health Care Services,4.52
2022-01,A314 - California Science Center,4.37
2022-01,A341 - California Earthquake Authority,0.27
2022-01,A424 - Cradle-to-Career,0.29
2022-01,A541 - Board of Forestry and Fire Protection,4.64
2022-02,0500 - Governor's Office,1.68
2022-02,0509 - Governor's Office of Business and Economic Development (GO-Biz),1.01
2022-02,0511 - Secretary for Government Operations Agency,0.33
2022-02,"0515 - Secretary for Business, Consumer Services, and Housing Agency",0.61
2022-02,0521 - Secretary for Transportation Agency,1.36
2022-02,0531 - Office of Systems Integration,0.15
2022-02,0540 - Secretary of the Natural Resources Agency,0.28
2022-02,0552 - Office of the Inspector General,0.33
2022-02,0555 - Secretary for Environmental Protection,0.99
2022-02,0559 - Secretary for Labor and Workforce Development Agency,2.71
2022-02,0650 - Office of Planning and Research,0.64
2022-02,0690 - Governor's Office of Emergency Services,2.41
2022-02,0820 - Department of Justice,1.58
2022-02,0845 - Department of Insurance,1.8
2022-02,0855 - California Gambling Control Commission,0.47
2022-02,0860 - State Board of Equalization,0
2022-02,0890 - Secretary of State,1.83
2022-02,1045 - Cannabis Control Appeals Panel,1
2022-02,1111 - Department of Consumer Affairs,2.4
2022-02,1115 - Department of Cannabis Control,1.13
2022-02,1700 - California Civil Rights Department,0.44
2022-02,1701 - Department of Financial Protection and Innovation,0.39
2022-02,1703 - California Privacy Protection Agency,0.8
2022-02,1750 - California Horse Racing Board,2.74
2022-02,2100 - Department of Alcoholic Beverage Control,2.22
2022-02,2120 - Alcoholic Beverage Control Appeals Board,1
2022-02,2240 - Department of Housing and Community Development,1.06
2022-02,2320 - Department of Real Estate,1.82
2022-02,2600 - California Transportation Commission,0.62
2022-02,2665 - High-Speed Rail Authority,1.13
2022-02,2720 - California Highway Patrol,4.87
2022-02,3105 - California African-American Museum,0
2022-02,3125 - California Tahoe Conservancy,0.12
2022-02,3340 - California Conservation Corps,4
2022-02,3355 - Office of Energy Infrastructure Safety,0.21
2022-02,3360 - Energy Resources Conservation and Development Commission,0.18
2022-02,3480 - Department of Conservation,1.13
2022-02,3540 - Department of Forestry and Fire Protection,4.88
2022-02,3560 - State Lands Commission,1.33
2022-02,3600 - Department of Fish and Wildlife,2.5
2022-02,3640 - Wildlife Conservation Board,1.06
2022-02,3720 - California Coastal Commission,1
2022-02,3760 - State Coastal Conservancy,0.58
2022-02,3780 - Native American Heritage Commission,0.38
2022-02,3790 - Department of Parks and Recreation,2.54
2022-02,3810 - Santa Monica Mountains Conservancy,0
2022-02,3820 - San Francisco Bay Conservation and Development Commission,0
2022-02,3825 - San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy,1.11
2022-02,3830 - San Joaquin River Conservancy,0.33
2022-02,3835 - Baldwin Hills Conservancy,0.67
2022-02,3840 - Delta Protection Commission,2.56
2022-02,3845 - San Diego River Conservancy,5
2022-02,3850 - Coachella Valley Mountains Conservancy,2.63
2022-02,3855 - Sierra Nevada Conservancy,0.67
2022-02,3860 - Department of Water Resources,2.67
2022-02,3862 - Central Valley Flood Protection Board,0.2
2022-02,3875 - Sacramento-San Joaquin Delta Conservancy,0
2022-02,3885 - Delta Stewardship Council,0.64
2022-02,3900 - State Air Resources Board,0.8
2022-02,3930 - Department of Pesticide Regulation,0.63
2022-02,3940 - State Water Resources Control Board,0.82
2022-02,3960 - Department of Toxic Substances Control,1.53
2022-02,3970 - Department of Resources Recycling and Recovery,0.68
2022-02,4100 - State Council on Developmental Disabilities,1.5
2022-02,4140 - Department of Health Care Access and Information,0.48
2022-02,4150 - Department of Managed Health Care,0.47
2022-02,4170 - Department of Aging,0.1
2022-02,4250 - California Children and Families Commission,1.76
2022-02,4260 - State Department of Health Care Services,1.88
2022-02,4265 - Department of Public Health,1.52
2022-02,4300 - Department of Developmental Services,3.4
2022-02,4440 - Department of State Hospitals,4.7
2022-02,4700 - Department of Community Services and Development,0.14
2022-02,4800 - California Health Benefit Exchange,0.28
2022-02,5160 - Department of Rehabilitation,1.89
2022-02,5175 - Department of Child Support Services,0.22
2022-02,5180 - Department of Social Services,1.4
2022-02,5225 - Department of Corrections and Rehabilitation,4.71
2022-02,5227 - Board of State and Community Corrections,0.05
2022-02,5420 - Prison Industry Authority,4.27
2022-02,6120 - California State Library,1.84
2022-02,6125 - Education Audit Appeals Panel,1.33
2022-02,6250 - California School for the Deaf - Riverside,4.69
2022-02,6360 - Commission on Teacher Credentialing,0.93
2022-02,6870 - Board of Governors of the California Community Colleges,0
2022-02,"6980 - Student Aid Commission, California",0
2022-02,7100 - Employment Development Department,0.79
2022-02,7300 - Agricultural Labor Relations Board,1.87
2022-02,7320 - Public Employment Relations Board,1.19
2022-02,7501 - Department of Human Resources,0.86
2022-02,7502 - California Department of Technology,0.01
2022-02,7503 - State Personnel Board,0.43
2022-02,7504 - Office of Data and Innovation,0
2022-02,7600 - California Department of Tax and Fee Administration,0.46
2022-02,7730 - Franchise Tax Board,1.4
