Report Month,Department,0 Days,1 Day,2 Days,3 Days,4 Days,5 Days,Total
2021-10,2600 - California Transportation Commission,0,0,0,4,10,20,34
2021-10,2665 - High-Speed Rail Authority,8,17,26,41,37,162,291
2021-10,2720 - California Highway Patrol,1010,0,329,0,157,0,1496
2021-10,3105 - California African-American Museum,0,0,18,0,0,0,18
2021-10,3125 - California Tahoe Conservancy,1,0,0,0,0,41,42
2021-10,3340 - California Conservation Corps,0,0,49,9,91,0,149
2021-10,3355 - Office of Energy Infrastructure Safety,0,0,0,0,0,26,26
2021-10,3360 - Energy Resources Conservation and Development Commission,0,3,9,18,43,525,598
2021-10,3480 - Department of Conservation,35,21,58,89,88,325,616
2021-10,3540 - Department of Forestry and Fire Protection,4,7,20,30,37,61,159
2021-10,3560 - State Lands Commission,2,6,5,25,14,114,166
2021-10,3600 - Department of Fish and Wildlife,665,21,52,154,111,819,1822
2021-10,3640 - Wildlife Conservation Board,16,0,1,1,0,14,32
2021-10,3720 - California Coastal Commission,0,0,0,0,178,0,178
2021-10,3760 - State Coastal Conservancy,0,0,1,3,8,41,53
2021-10,3780 - Native American Heritage Commission,0,0,1,0,0,7,8
2021-10,3790 - Department of Parks and Recreation,321,118,173,103,98,349,1162
2021-10,3810 - Santa Monica Mountains Conservancy,0,0,0,0,0,7,7
2021-10,3820 - San Francisco Bay Conservation and Development Commission,0,0,0,0,0,48,48
2021-10,3825 - San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy,0,0,0,5,3,0,8
2021-10,3830 - San Joaquin River Conservancy,0,0,0,0,1,2,3
2021-10,3835 - Baldwin Hills Conservancy,0,0,0,1,0,2,3
2021-10,3840 - Delta Protection Commission,0,1,0,0,2,2,5
2021-10,3845 - San Diego River Conservancy,3,0,0,0,0,0,3
2021-10,3850 - Coachella Valley Mountains Conservancy,0,2,1,1,0,0,4
2021-10,3855 - Sierra Nevada Conservancy,0,0,3,1,6,25,35
2021-10,3860 - Department of Water Resources,0,171,339,427,649,582,2168
2021-10,3862 - Central Valley Flood Protection Board,0,1,0,6,3,38,48
2021-10,3875 - Sacramento-San Joaquin Delta Conservancy,0,0,0,0,1,10,11
2021-10,3885 - Delta Stewardship Council,0,1,0,5,8,40,54
2021-10,3900 - State Air Resources Board,24,46,63,92,184,1223,1632
2021-10,3930 - Department of Pesticide Regulation,7,11,24,55,94,219,410
2021-10,3940 - State Water Resources Control Board,268,16,73,74,118,1673,2222
2021-10,3960 - Department of Toxic Substances Control,204,33,63,86,149,428,963
2021-10,3970 - Department of Resources Recycling and Recovery,63,21,28,84,104,464,764
2021-10,4100 - State Council on Developmental Disabilities,5,6,6,13,6,30,66
2021-10,4140 - Department of Health Care Access and Information,9,11,19,13,44,344,440
2021-10,4150 - Department of Managed Health Care,0,0,0,2,4,489,495
2021-10,4170 - Department of Aging,0,3,3,2,0,175,183
2021-10,4250 - California Children and Families Commission,0,0,0,13,0,0,13
2021-10,4265 - Department of Public Health,1126,24,83,112,137,2456,3938
2021-10,4300 - Department of Developmental Services,23,7,30,43,87,374,564
2021-10,4440 - Department of State Hospitals,51,121,183,77,272,269,973
2021-10,4700 - Department of Community Services and Development,1,0,1,0,3,103,108
2021-10,4800 - California Health Benefit Exchange,19,4,29,13,3,1257,1325
2021-10,5160 - Department of Rehabilitation,121,77,454,496,225,273,1646
2021-10,5175 - Department of Child Support Services,0,15,11,16,56,471,569
2021-10,5180 - Department of Social Services,0,388,1377,614,487,2285,5151
2021-10,5225 - Department of Corrections and Rehabilitation,1370,251,571,430,573,1342,4537
2021-10,5227 - Board of State and Community Corrections,0,2,1,1,2,94,100
2021-10,5420 - Prison Industry Authority,0,7,7,3,0,6,23
2021-10,6120 - California State Library,3,29,32,13,17,47,141
2021-10,6125 - Education Audit Appeals Panel,0,0,0,1,2,0,3
2021-10,6250 - California School for the Deaf - Riverside,6,0,10,1,2,0,19
2021-10,6360 - Commission on Teacher Credentialing,1,4,4,16,37,80,142
2021-10,6870 - Board of Governors of the California Community Colleges,0,0,1,4,1,162,168
2021-10,"6980 - Student Aid Commission, California",0,0,0,0,0,138,138
2021-10,7100 - Employment Development Department,27,26,207,281,168,985,1694
2021-10,7300 - Agricultural Labor Relations Board,4,1,4,34,7,13,63
2021-10,7320 - Public Employment Relations Board,1,3,4,14,26,21,69
2021-10,7501 - Department of Human Resources,8,4,13,21,36,213,295
2021-10,7502 - California Department of Technology,78,7,7,34,42,718,886
2021-10,7503 - State Personnel Board,0,0,0,8,18,51,77
2021-10,7504 - Office of Data and Innovation,0,0,0,0,0,17,17
2021-10,7600 - California Department of Tax and Fee Administration,21,12,114,329,521,2477,3474
2021-10,7730 - Franchise Tax Board,1514,44,91,95,581,2785,5110
2021-10,7760 - Department of General Services,371,74,88,94,192,1167,1986
2021-10,7870 - California Victim Compensation Board,3,0,0,0,0,220,223
2021-10,7910 - Office of Administrative Law,0,3,5,4,9,0,21
2021-10,7920 - State Teachers' Retirement System,0,0,0,2,2,1286,1290
2021-10,8120 - Commission on Peace Officer Standards and Training,3,1,3,128,0,0,135
2021-10,8140 - State Public Defender,8,2,13,7,4,46,80
2021-10,8560 - California Exposition and State Fair,0,0,1,0,1,0,2
2021-10,8570 - Department of Food and Agriculture,65,23,57,91,69,177,482
2021-10,8620 - Fair Political Practices Commission,1,0,0,0,2,77,80
2021-10,8660 - Public Utilities Commission,1,13,55,137,710,324,1240
2021-10,"8780 - Milton Marks ""Little Hoover"" Commission on California State Government Organization and Economy",0,0,0,0,0,7,7
2021-10,8825 - Commission on Asian and Pacific Islander American Affairs,0,0,0,0,0,1,1
2021-10,"8830 - Law Revision Commission, California",0,0,0,0,0,7,7
2021-10,8860 - Department of Finance,10,13,32,36,96,186,373
2021-10,8880 - Financial Information System for California,0,1,3,6,11,257,278
2021-10,"8885 - States Mandates, Commission on",0,0,1,0,9,1,11
2021-10,8940 - Military Department,0,5,15,3,5,10,38
2021-10,8955 - Department of Veterans Affairs,14,26,45,107,49,189,430
2021-10,A059 - California Correctional Health Care Services,157,163,451,456,251,705,2183
2021-10,A314 - California Science Center,2,2,26,0,0,2,32
2021-10,A341 - California Earthquake Authority,1,0,2,3,2,75,83
2021-10,A424 - Cradle-to-Career,0,0,0,0,0,1,1
2021-10,A541 - Board of Forestry and Fire Protection,0,0,0,0,1,0,1
2021-11,0500 - Governor's Office,13,6,17,15,19,36,106
2021-11,0509 - Governor's Office of Business and Economic Development (GO-Biz),1,3,5,7,20,91,127
2021-11,0511 - Secretary for Government Operations Agency,0,0,1,3,1,19,24
2021-11,"0515 - Secretary for Business, Consumer Services, and Housing Agency",1,0,1,3,10,31,46
2021-11,0521 - Secretary for Transportation Agency,1,0,2,0,19,0,22
2021-11,0531 - Office of Systems Integration,1,1,0,7,61,267,337
2021-11,0540 - Secretary of the Natural Resources Agency,0,0,8,1,0,78,87
2021-11,0552 - Office of the Inspector General,12,2,2,0,11,103,130
2021-11,0555 - Secretary for Environmental Protection,4,0,0,4,2,57,67
2021-11,0559 - Secretary for Labor and Workforce Development Agency,4,2,8,8,3,3,28
2021-11,0650 - Office of Planning and Research,0,2,10,9,5,86,112
2021-11,0690 - Governor's Office of Emergency Services,121,61,119,140,110,502,1053
2021-11,0820 - Department of Justice,359,321,528,511,538,1620,3877
2021-11,0855 - California Gambling Control Commission,0,0,2,3,9,23,37
2021-11,0860 - State Board of Equalization,0,0,7,0,0,151,158
2021-11,0890 - Secretary of State,8,22,40,392,0,101,563
2021-11,1045 - Cannabis Control Appeals Panel,0,1,1,0,1,5,8
2021-11,1111 - Department of Consumer Affairs,312,257,310,502,498,645,2524
2021-11,1115 - Department of Cannabis Control,67,1,12,37,20,251,388
2021-11,1700 - California Civil Rights Department,5,2,3,18,37,197,262
2021-11,1701 - Department of Financial Protection and Innovation,10,2,33,38,27,548,658
2021-11,1703 - California Privacy Protection Agency,1,0,0,0,0,1,2
2021-11,1750 - California Horse Racing Board,1,4,1,9,2,12,29
2021-11,2100 - Department of Alcoholic Beverage Control,22,101,153,94,33,45,448
2021-11,2120 - Alcoholic Beverage Control Appeals Board,0,0,1,2,1,2,6
2021-11,2240 - Department of Housing and Community Development,87,9,74,80,67,506,823
2021-11,2320 - Department of Real Estate,7,24,18,136,121,22,328
2021-11,2600 - California Transportation Commission,0,0,0,4,10,20,34
2021-11,2665 - High-Speed Rail Authority,10,13,22,48,29,172,294
2021-11,2720 - California Highway Patrol,1010,0,336,0,157,0,1503
2021-11,3105 - California African-American Museum,0,0,18,0,0,0,18
2021-11,3125 - California Tahoe Conservancy,1,0,0,0,0,41,42
2021-11,3340 - California Conservation Corps,0,0,49,9,90,0,148
2021-11,3355 - Office of Energy Infrastructure Safety,0,0,0,0,0,30,30
2021-11,3360 - Energy Resources Conservation and Development Commission,0,3,9,18,43,525,598
2021-11,3480 - Department of Conservation,35,21,58,89,88,327,618
2021-11,3540 - Department of Forestry and Fire Protection,4,11,20,36,43,67,181
2021-11,3560 - State Lands Commission,2,6,5,27,14,113,167
2021-11,3600 - Department of Fish and Wildlife,665,21,52,154,111,819,1822
2021-11,3640 - Wildlife Conservation Board,16,0,1,1,0,14,32
2021-11,3720 - California Coastal Commission,0,0,0,0,178,0,178
2021-11,3760 - State Coastal Conservancy,0,0,2,3,8,41,54
2021-11,3780 - Native American Heritage Commission,0,0,1,0,0,7,8
2021-11,3790 - Department of Parks and Recreation,323,114,173,104,99,349,1162
2021-11,3810 - Santa Monica Mountains Conservancy,0,0,0,0,0,7,7
2021-11,3820 - San Francisco Bay Conservation and Development Commission,0,0,0,0,0,48,48
2021-11,3825 - San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy,0,0,0,3,6,0,9
2021-11,3830 - San Joaquin River Conservancy,0,0,0,0,1,2,3
2021-11,3835 - Baldwin Hills Conservancy,0,0,0,0,1,2,3
2021-11,3840 - Delta Protection Commission,0,1,0,0,2,2,5
2021-11,3845 - San Diego River Conservancy,3,0,0,0,0,0,3
2021-11,3850 - Coachella Valley Mountains Conservancy,0,2,1,1,0,0,4
2021-11,3855 - Sierra Nevada Conservancy,0,0,3,2,6,28,39
2021-11,3860 - Department of Water Resources,0,254,392,494,774,272,2186
2021-11,3862 - Central Valley Flood Protection Board,0,1,0,12,3,38,54
2021-11,3875 - Sacramento-San Joaquin Delta Conservancy,0,0,0,0,1,10,11
2021-11,3885 - Delta Stewardship Council,0,1,0,5,8,41,55
2021-11,3900 - State Air Resources Board,27,48,63,107,175,1212,1632
2021-11,3930 - Department of Pesticide Regulation,6,11,21,64,90,219,411
2021-11,3940 - State Water Resources Control Board,278,16,76,76,119,1698,2263
2021-11,3960 - Department of Toxic Substances Control,239,54,62,165,387,59,966
2021-11,3970 - Department of Resources Recycling and Recovery,53,22,32,79,108,470,764
2021-11,4100 - State Council on Developmental Disabilities,5,6,6,13,6,30,66
2021-11,4140 - Department of Health Care Access and Information,10,11,26,14,49,331,441
2021-11,4150 - Department of Managed Health Care,0,0,0,2,4,488,494
2021-11,4170 - Department of Aging,0,3,3,2,0,174,182
2021-11,4250 - California Children and Families Commission,0,0,0,13,0,0,13
2021-11,4265 - Department of Public Health,1126,24,83,112,137,2456,3938
2021-11,4300 - Department of Developmental Services,26,6,34,39,87,372,564
2021-11,4440 - Department of State Hospitals,45,129,187,73,274,276,984
2021-11,4700 - Department of Community Services and Development,1,0,1,0,3,104,109
2021-11,4800 - California Health Benefit Exchange,17,4,28,15,3,1264,1331
2021-11,5160 - Department of Rehabilitation,128,93,443,491,228,269,1652
2021-11,5175 - Department of Child Support Services,0,15,11,17,56,469,568
2021-11,5180 - Department of Social Services,0,388,1377,614,487,2285,5151
2021-11,5225 - Department of Corrections and Rehabilitation,1370,251,571,430,573,1342,4537
2021-11,5227 - Board of State and Community Corrections,0,3,1,0,1,95,100
2021-11,5420 - Prison Industry Authority,0,8,29,47,34,15,133
2021-11,6120 - California State Library,3,29,32,11,19,49,143
2021-11,6125 - Education Audit Appeals Panel,0,0,0,1,2,0,3
2021-11,6250 - California School for the Deaf - Riverside,6,0,10,1,2,0,19
2021-11,6360 - Commission on Teacher Credentialing,2,4,5,17,36,81,145
2021-11,6870 - Board of Governors of the California Community Colleges,0,0,1,4,1,164,170
2021-11,"6980 - Student Aid Commission, California",0,0,0,0,0,138,138
2021-11,7100 - Employment Development Department,26,26,207,285,168,988,1700
2021-11,7300 - Agricultural Labor Relations Board,3,1,4,33,7,14,62
2021-11,7320 - Public Employment Relations Board,1,4,5,15,26,21,72
2021-11,7501 - Department of Human Resources,9,3,12,21,35,217,297
2021-11,7502 - California Department of Technology,101,3,9,24,44,704,885
2021-11,7503 - State Personnel Board,0,1,2,3,17,54,77
2021-11,7504 - Office of Data and Innovation,0,0,0,0,0,17,17
2021-11,7600 - California Department of Tax and Fee Administration,21,12,114,329,521,2477,3474
2021-11,7730 - Franchise Tax Board,1514,44,91,95,580,2784,5108
2021-11,7760 - Department of General Services,372,72,81,96,187,1154,1962
2021-11,7870 - California Victim Compensation Board,3,0,0,0,0,222,225
2021-11,7910 - Office of Administrative Law,0,3,5,4,9,0,21
2021-11,7920 - State Teachers' Retirement System,0,0,0,2,1,1283,1286
2021-11,8120 - Commission on Peace Officer Standards and Training,3,3,3,123,1,0,133
2021-11,8140 - State Public Defender,8,2,13,7,5,48,83
2021-11,8560 - California Exposition and State Fair,0,0,1,0,1,0,2
2021-11,8570 - Department of Food and Agriculture,64,22,60,70,70,171,457
2021-11,8620 - Fair Political Practices Commission,1,0,0,0,2,78,81
2021-11,8660 - Public Utilities Commission,0,13,55,139,702,327,1236
2021-11,"8780 - Milton Marks ""Little Hoover"" Commission on California State Government Organization and Economy",0,0,0,0,0,7,7
2021-11,8825 - Commission on Asian and Pacific Islander American Affairs,0,0,0,0,0,1,1
2021-11,"8830 - Law Revision Commission, California",0,0,0,0,0,7,7
2021-11,8860 - Department of Finance,10,13,32,36,96,191,378
2021-11,8880 - Financial Information System for California,0,0,3,6,10,266,285
2021-11,"8885 - States Mandates, Commission on",0,0,1,0,9,1,11
2021-11,8940 - Military Department,0,5,15,3,5,10,38
2021-11,8955 - Department of Veterans Affairs,14,26,45,107,49,189,430
2021-11,A059 - California Correctional Health Care Services,159,169,457,466,261,726,2238
2021-11,A314 - California Science Center,2,2,26,0,0,2,32
2021-11,A341 - California Earthquake Authority,1,0,2,4,2,75,84
2021-11,A424 - Cradle-to-Career,0,0,0,1,0,2,3
2021-11,A541 - Board of Forestry and Fire Protection,0,0,0,0,1,0,1
2021-12,0500 - Governor's Office,11,7,15,16,23,38,110
2021-12,0509 - Governor's Office of Business and Economic Development (GO-Biz),1,2,5,7,16,95,126
2021-12,0511 - Secretary for Government Operations Agency,0,0,0,5,1,23,29
2021-12,"0515 - Secretary for Business, Consumer Services, and Housing Agency",1,0,2,3,11,35,52
2021-12,0521 - Secretary for Transportation Agency,1,0,2,0,19,0,22
2021-12,0531 - Office of Systems Integration,0,2,0,5,33,297,337
2021-12,0540 - Secretary of the Natural Resources Agency,0,0,8,1,0,78,87
2021-12,0552 - Office of the Inspector General,11,3,4,0,7,108,133
2021-12,0555 - Secretary for Environmental Protection,4,0,0,4,2,58,68
2021-12,0559 - Secretary for Labor and Workforce Development Agency,4,2,8,8,3,3,28
2021-12,0650 - Office of Planning and Research,0,2,10,9,5,86,112
2021-12,0690 - Governor's Office of Emergency Services,114,76,113,132,106,520,1061
2021-12,0820 - Department of Justice,359,321,528,511,538,1620,3877
2021-12,0855 - California Gambling Control Commission,0,0,1,4,9,23,37
2021-12,0860 - State Board of Equalization,0,0,7,0,0,152,159
2021-12,0890 - Secretary of State,8,22,40,392,0,101,563
2021-12,1045 - Cannabis Control Appeals Panel,0,1,1,0,1,5,8
2021-12,1111 - Department of Consumer Affairs,297,269,315,509,501,633,2524
2021-12,1115 - Department of Cannabis Control,69,1,13,39,20,249,391
2021-12,1700 - California Civil Rights Department,5,2,3,18,37,197,262
2021-12,1701 - Department of Financial Protection and Innovation,10,2,34,37,26,558,667
2021-12,1703 - California Privacy Protection Agency,1,0,0,0,0,2,3
2021-12,1750 - California Horse Racing Board,1,4,1,9,2,12,29
2021-12,2100 - Department of Alcoholic Beverage Control,25,95,158,93,34,45,450
2021-12,2120 - Alcoholic Beverage Control Appeals Board,0,0,1,2,1,2,6
2021-12,2240 - Department of Housing and Community Development,87,9,74,80,67,513,830
2021-12,2320 - Department of Real Estate,7,24,18,136,121,22,328
2021-12,2600 - California Transportation Commission,0,0,0,4,10,22,36
2021-12,2665 - High-Speed Rail Authority,10,12,28,47,29,172,298
2021-12,2720 - California Highway Patrol,1009,0,332,0,154,0,1495
2021-12,3105 - California African-American Museum,0,0,18,0,0,0,18
2021-12,3125 - California Tahoe Conservancy,1,0,0,0,0,41,42
2021-12,3340 - California Conservation Corps,0,0,50,9,91,0,150
2021-12,3355 - Office of Energy Infrastructure Safety,0,0,0,0,0,30,30
2021-12,3360 - Energy Resources Conservation and Development Commission,0,3,9,18,43,525,598
2021-12,3480 - Department of Conservation,34,21,58,89,88,329,619
2021-12,3540 - Department of Forestry and Fire Protection,4,12,26,38,45,67,192
2021-12,3560 - State Lands Commission,2,6,5,29,14,113,169
2021-12,3600 - Department of Fish and Wildlife,665,21,52,154,111,819,1822
2021-12,3640 - Wildlife Conservation Board,16,0,1,1,0,14,32
2021-12,3720 - California Coastal Commission,0,0,0,0,178,0,178
2021-12,3760 - State Coastal Conservancy,0,0,2,3,8,41,54
2021-12,3780 - Native American Heritage Commission,0,0,1,0,0,7,8
2021-12,3790 - Department of Parks and Recreation,272,124,195,117,109,354,1171
2021-12,3810 - Santa Monica Mountains Conservancy,0,0,0,0,0,7,7
2021-12,3820 - San Francisco Bay Conservation and Development Commission,0,0,0,0,0,48,48
2021-12,3825 - San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy,0,0,0,2,6,1,9
2021-12,3830 - San Joaquin River Conservancy,0,0,0,0,1,2,3
2021-12,3835 - Baldwin Hills Conservancy,0,0,0,0,1,2,3
2021-12,3840 - Delta Protection Commission,0,1,0,0,2,2,5
2021-12,3845 - San Diego River Conservancy,3,0,0,0,0,0,3
2021-12,3850 - Coachella Valley Mountains Conservancy,0,2,1,1,0,0,4
2021-12,3855 - Sierra Nevada Conservancy,0,0,3,1,7,29,40
2021-12,3860 - Department of Water Resources,23,229,298,473,663,542,2228
2021-12,3862 - Central Valley Flood Protection Board,0,1,0,12,3,38,54
2021-12,3875 - Sacramento-San Joaquin Delta Conservancy,0,0,0,0,1,10,11
2021-12,3885 - Delta Stewardship Council,0,1,0,5,8,41,55
2021-12,3900 - State Air Resources Board,13,73,93,369,543,463,1554
2021-12,3930 - Department of Pesticide Regulation,7,14,19,66,101,214,421
2021-12,3940 - State Water Resources Control Board,296,16,81,79,121,1722,2315
2021-12,3960 - Department of Toxic Substances Control,290,23,78,130,146,313,980
2021-12,3970 - Department of Resources Recycling and Recovery,44,23,22,68,117,490,764
2021-12,4100 - State Council on Developmental Disabilities,5,6,6,13,6,30,66
2021-12,4140 - Department of Health Care Access and Information,10,11,26,14,47,334,442
2021-12,4150 - Department of Managed Health Care,0,0,0,2,4,483,489
2021-12,4170 - Department of Aging,1,3,6,4,3,173,190
2021-12,4250 - California Children and Families Commission,0,0,0,13,0,0,13
2021-12,4265 - Department of Public Health,1126,24,83,112,137,2456,3938
2021-12,4300 - Department of Developmental Services,27,5,31,41,86,369,559
2021-12,4440 - Department of State Hospitals,43,133,186,73,263,282,980
2021-12,4700 - Department of Community Services and Development,1,0,1,0,3,103,108
2021-12,4800 - California Health Benefit Exchange,18,3,24,11,3,1264,1323
2021-12,5160 - Department of Rehabilitation,124,92,436,491,221,270,1634
2021-12,5175 - Department of Child Support Services,0,15,11,17,58,473,574
2021-12,5180 - Department of Social Services,0,388,1377,614,487,2285,5151
2021-12,5225 - Department of Corrections and Rehabilitation,1369,251,571,429,573,1341,4534
2021-12,5227 - Board of State and Community Corrections,0,3,0,0,1,95,99
2021-12,5420 - Prison Industry Authority,1,8,38,88,34,17,186
2021-12,6120 - California State Library,3,29,32,12,18,51,145
2021-12,6125 - Education Audit Appeals Panel,0,0,0,1,2,0,3
2021-12,6250 - California School for the Deaf - Riverside,6,0,10,1,2,0,19
2021-12,6360 - Commission on Teacher Credentialing,2,4,5,16,36,82,145
2021-12,6870 - Board of Governors of the California Community Colleges,0,0,1,4,1,163,169
2021-12,"6980 - Student Aid Commission, California",0,0,0,0,0,138,138
2021-12,7100 - Employment Development Department,26,26,209,273,168,983,1685
2021-12,7300 - Agricultural Labor Relations Board,3,1,4,33,7,14,62
2021-12,7320 - Public Employment Relations Board,1,4,4,17,26,21,73
2021-12,7501 - Department of Human Resources,7,6,10,22,37,214,296
2021-12,7502 - California Department of Technology,78,7,7,34,42,718,886
2021-12,7503 - State Personnel Board,0,0,2,4,17,53,76
2021-12,7504 - Office of Data and Innovation,0,0,0,0,0,19,19
2021-12,7600 - California Department of Tax and Fee Administration,21,12,114,329,521,2477,3474
2021-12,7730 - Franchise Tax Board,1609,44,78,84,552,2733,5100
2021-12,7760 - Department of General Services,387,72,83,95,185,1139,1961
2021-12,7870 - California Victim Compensation Board,2,0,0,0,0,223,225
2021-12,7910 - Office of Administrative Law,0,3,5,4,9,0,21
2021-12,7920 - State Teachers' Retirement System,0,0,0,2,2,1291,1295
2021-12,8120 - Commission on Peace Officer Standards and Training,2,2,3,126,1,0,134
2021-12,8140 - State Public Defender,9,2,13,7,5,47,83
2021-12,8560 - California Exposition and State Fair,0,0,1,0,1,0,2
2021-12,8570 - Department of Food and Agriculture,58,19,61,70,72,187,467
2021-12,8620 - Fair Political Practices Commission,1,0,0,0,2,79,82
2021-12,8660 - Public Utilities Commission,0,13,55,139,701,330,1238
2021-12,"8780 - Milton Marks ""Little Hoover"" Commission on California State Government Organization and Economy",0,0,0,0,0,7,7
2021-12,"8830 - Law Revision Commission, California",0,0,0,0,0,7,7
2021-12,8860 - Department of Finance,10,13,32,36,96,191,378
2021-12,8880 - Financial Information System for California,0,2,1,6,7,268,284
2021-12,"8885 - States Mandates, Commission on",0,0,1,0,9,1,11
2021-12,8940 - Military Department,0,5,15,3,5,10,38
2021-12,8955 - Department of Veterans Affairs,14,26,45,106,49,189,429
2021-12,A059 - California Correctional Health Care Services,155,168,453,465,258,722,2221
2021-12,A314 - California Science Center,2,2,26,0,0,2,32
2021-12,A341 - California Earthquake Authority,1,0,2,3,2,74,82
2021-12,A424 - Cradle-to-Career,0,0,0,1,0,4,5
2021-12,A541 - Board of Forestry and Fire Protection,0,0,0,0,1,0,1
2022-01,0500 - Governor's Office,13,5,19,11,14,53,115
2022-01,0509 - Governor's Office of Business and Economic Development (GO-Biz),1,5,5,5,16,96,128
2022-01,0511 - Secretary for Government Operations Agency,0,0,0,4,1,24,29
2022-01,"0515 - Secretary for Business, Consumer Services, and Housing Agency",1,0,2,3,11,35,52
2022-01,0521 - Secretary for Transportation Agency,1,0,2,0,19,0,22
2022-01,0531 - Office of Systems Integration,0,1,1,6,48,281,337
2022-01,0540 - Secretary of the Natural Resources Agency,0,0,8,1,0,76,85
2022-01,0552 - Office of the Inspector General,13,0,1,3,7,108,132
2022-01,0555 - Secretary for Environmental Protection,5,0,0,4,2,57,68
2022-01,0559 - Secretary for Labor and Workforce Development Agency,4,2,8,8,3,3,28
2022-01,0650 - Office of Planning and Research,0,2,11,10,8,90,121
2022-01,0690 - Governor's Office of Emergency Services,120,55,101,148,115,515,1054
2022-01,0820 - Department of Justice,359,321,528,511,538,1620,3877
2022-01,0855 - California Gambling Control Commission,0,0,2,3,15,18,38
2022-01,0860 - State Board of Equalization,0,0,8,0,0,152,160
2022-01,0890 - Secretary of State,8,22,40,392,0,101,563
2022-01,1045 - Cannabis Control Appeals Panel,0,1,1,0,1,5,8
2022-01,1111 - Department of Consumer Affairs,284,291,338,484,441,657,2495
2022-01,1115 - Department of Cannabis Control,70,1,13,36,20,255,395
2022-01,1700 - California Civil Rights Department,5,2,3,18,37,197,262
2022-01,1701 - Department of Financial Protection and Innovation,10,2,34,38,24,575,683
2022-01,1703 - California Privacy Protection Agency,1,0,0,0,0,2,3
2022-01,1750 - California Horse Racing Board,1,4,1,8,2,11,27
2022-01,2100 - Department of Alcoholic Beverage Control,2,89,150,92,33,46,412
2022-01,2120 - Alcoholic Beverage Control Appeals Board,0,0,1,2,1,2,6
2022-01,2240 - Department of Housing and Community Development,88,9,77,81,72,529,856
2022-01,2320 - Department of Real Estate,7,24,18,136,121,22,328
2022-01,2600 - California Transportation Commission,0,0,0,4,10,23,37
2022-01,2665 - High-Speed Rail Authority,11,13,26,43,28,172,293
2022-01,2720 - California Highway Patrol,1020,0,319,0,150,0,1489
2022-01,3105 - California African-American Museum,0,0,18,0,0,0,18
2022-01,3125 - California Tahoe Conservancy,1,0,0,0,0,41,42
2022-01,3340 - California Conservation Corps,0,0,49,9,88,0,146
2022-01,3355 - Office of Energy Infrastructure Safety,0,0,0,0,0,44,44
2022-01,3360 - Energy Resources Conservation and Development Commission,0,3,9,18,43,525,598
2022-01,3480 - Department of Conservation,33,21,58,87,87,328,614
2022-01,3540 - Department of Forestry and Fire Protection,4,13,29,40,45,68,199
2022-01,3560 - State Lands Commission,2,6,5,28,14,115,170
2022-01,3600 - Department of Fish and Wildlife,665,21,52,154,111,819,1822
2022-01,3640 - Wildlife Conservation Board,16,0,1,1,0,14,32
2022-01,3720 - California Coastal Commission,0,0,0,0,178,0,178
2022-01,3760 - State Coastal Conservancy,0,0,2,3,8,41,54
2022-01,3780 - Native American Heritage Commission,0,0,1,0,0,7,8
2022-01,3790 - Department of Parks and Recreation,260,136,187,103,108,370,1164
2022-01,3810 - Santa Monica Mountains Conservancy,0,0,0,0,0,7,7
